"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.941697598E0,3.587711334E0,9.204508781E0
3.835361700E-2,-1.989581585E0,3.506308317E0,9.827000618E0
6.251113800E-2,-2.080561161E0,3.520673513E0,9.844957352E0
7.958064800E-2,-2.033874273E0,3.505111217E0,9.196128845E0
9.312561500E-2,-2.141613483E0,3.655946016E0,8.487444878E0
1.048881370E-1,-2.488772631E0,3.702632904E0,7.819462776E0
1.157685130E-1,-2.524685621E0,3.756502390E0,7.340622425E0
1.262139890E-1,-2.892195702E0,3.473986626E0,7.481880188E0
1.364450350E-1,-3.005920172E0,2.539050817E0,7.201758862E0
1.465612500E-1,-1.228225470E0,3.670311213E0,7.940370083E0
1.566197040E-1,-1.984793186E0,3.499125719E0,9.901221275E0
1.666511230E-1,-1.988384485E0,3.107673883E0,1.124317074E1
1.766703710E-1,-1.152808070E0,2.372653961E0,1.113902378E1
1.866755530E-1,-9.050082564E-1,2.055422068E0,9.986215591E0
1.966633750E-1,-1.300051570E0,1.975216389E0,9.173383713E0
2.066527860E-1,-1.246181965E0,2.504334927E0,9.127894402E0
2.166498950E-1,-1.987187386E0,3.136404276E0,9.534908295E0
2.266555840E-1,-2.197877169E0,3.435679436E0,1.023880386E1
2.366513900E-1,-1.731007814E0,2.756923199E0,1.075714779E1
2.466512550E-1,-1.611297727E0,1.619677424E0,1.060631371E1
2.566570530E-1,-2.454056740E-1,1.035492182E0,9.236829758E0
2.666623750E-1,1.067813993E0,1.060631394E0,8.553285599E0
2.766703240E-1,4.991910458E-1,9.900023937E-1,9.206902504E0
2.866637410E-1,-5.829881430E-1,1.575384736E0,9.892841339E0
2.967100260E-1,-1.234210968E0,2.584540844E0,9.818621635E0
3.073271300E-1,-6.392518282E-1,3.081337690E0,1.022204399E1
3.170118360E-1,3.675099611E-1,2.554613113E0,1.089361763E1
3.269444200E-1,9.062053561E-1,2.064998865E0,1.107557678E1
3.368002310E-1,1.163581967E0,2.495955229E0,1.146463490E1
3.467228100E-1,5.889736414E-1,2.889801502E0,1.172440529E1
3.566836760E-1,5.638344884E-1,3.156754971E0,1.032858658E1
3.666866090E-1,4.141969085E-1,2.998737574E0,7.771578789E0
3.766878830E-1,6.703764796E-1,2.806004286E0,6.991068840E0
3.866660200E-1,5.793967843E-1,2.816778183E0,7.193378925E0
3.966628770E-1,3.675099611E-1,2.770091295E0,7.564480305E0
4.066701330E-1,6.919242740E-1,2.711433411E0,8.529343605E0
4.166746260E-1,1.146822572E0,3.013102770E0,9.763554573E0
4.266796610E-1,1.124077678E0,3.264493942E0,1.042674828E1
