"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
-7.579043000E-2,-3.274238110E-2,3.602069244E-2,3.239011168E-1
2.905574900E-2,-3.274238110E-2,3.602069244E-2,3.239011168E-1
8.647830000E-2,-3.803247213E-1,3.316794634E-1,4.155308902E-1
1.201913250E-1,-6.564357877E-1,6.902573705E-1,4.686761796E-1
1.420452990E-1,-8.592430353E-1,7.000312209E-1,4.625675380E-1
1.579561900E-1,-8.824558854E-1,1.978999823E-1,4.894455969E-1
1.709278860E-1,-7.682241201E-1,-3.341636658E-1,5.114367008E-1
1.824159450E-1,-6.197838783E-1,-6.389853954E-1,4.143091738E-1
1.931444750E-1,-4.450764358E-1,-6.176050901E-1,3.214576542E-1
2.035041240E-1,-3.259577155E-1,-3.647069037E-1,3.348966837E-1
2.136865060E-1,-2.398256958E-1,-2.755205929E-1,3.489466012E-1
2.237786200E-1,-1.274264902E-1,-4.422867894E-1,4.155308902E-1
2.338219470E-1,2.223549224E-2,-7.990320921E-1,4.650110006E-1
2.438459760E-1,1.486845911E-1,-1.215031385E0,3.684942722E-1
2.538767210E-1,1.694540083E-1,-1.362249851E0,1.864564419E-1
2.639674200E-1,5.705481023E-2,-1.174714208E0,-4.506149516E-2
2.739191350E-1,-7.977900654E-2,-1.072088957E0,-2.142711580E-1
2.841069160E-1,-1.341460049E-1,-1.331706643E0,-2.301536649E-1
2.941396140E-1,-8.344419301E-2,-1.725714684E0,-1.837279052E-1
3.042752510E-1,4.972442985E-2,-2.081849098E0,-1.373021454E-1
3.140707810E-1,2.287079394E-1,-2.373231649E0,-1.397456080E-1
3.239885080E-1,4.107457697E-1,-2.495404720E0,-1.684562713E-1
3.339487560E-1,6.245486736E-1,-2.482576609E0,-1.721214652E-1
3.439089380E-1,8.383514881E-1,-2.120944500E0,-1.715105921E-1
3.538856630E-1,8.554556966E-1,-1.318878412E0,-1.336369514E-1
3.638745640E-1,6.587570906E-1,-5.888944268E-1,-1.098132133E-1
3.738689380E-1,4.864930809E-1,-1.417410970E-1,-3.101159260E-2
3.838726830E-1,2.641381323E-1,2.412714064E-1,3.251839057E-2
3.938704200E-1,1.062905230E-2,4.025398195E-1,5.389867350E-2
4.038669040E-1,-2.331061810E-1,3.848247528E-1,7.283549756E-2
4.138657420E-1,-4.365243018E-1,2.534887195E-1,1.027678922E-1
4.238657000E-1,-5.043303370E-1,1.280780882E-2,1.058222204E-1
4.338838710E-1,-4.010941386E-1,-2.113797367E-1,6.917030364E-2
4.438925140E-1,-2.257758081E-1,-3.317202032E-1,1.174897235E-2
4.538926240E-1,-6.939429045E-2,-3.451592326E-1,-3.712024540E-2
4.638841990E-1,-8.894198388E-2,-2.999551892E-1,-6.399831921E-2
4.738759670E-1,-1.439198554E-1,-2.400904000E-1,-5.666793510E-2
4.838771390E-1,-2.221106142E-1,-1.111978292E-1,-1.879428886E-2
4.939030140E-1,-2.667037547E-1,2.441424876E-2,1.113810856E-2
5.038919700E-1,-2.648711801E-1,1.410895139E-1,1.969022304E-2
5.138902750E-1,-2.227214724E-1,2.278323770E-1,1.419243310E-2
5.238889280E-1,-1.353677362E-1,3.383989930E-1,2.213368192E-2
5.339131580E-1,7.574727759E-3,4.819523394E-1,5.023348331E-2
5.439269660E-1,2.091602534E-1,5.857994556E-1,9.055058658E-2
5.539106580E-1,3.661526144E-1,5.613648295E-1,1.302568316E-1
5.638992730E-1,4.235739410E-1,3.329012096E-1,1.033787578E-1
5.739213500E-1,4.107457697E-1,-4.907282069E-3,1.480329875E-2
5.839142730E-1,3.392745554E-1,-3.078964353E-1,-6.094399095E-2
5.939261770E-1,2.128254473E-1,-4.703865945E-1,-1.104240790E-1
6.039355130E-1,4.117231816E-2,-4.752735198E-1,-1.360804141E-1
6.139226430E-1,-1.402546614E-1,-2.804075181E-1,-1.073697507E-1
6.239294390E-1,-2.929709852E-1,8.916597068E-2,3.807724454E-3
6.339360870E-1,-4.072027802E-1,4.459112585E-1,1.430850029E-1
6.439385260E-1,-4.566828609E-1,5.851885676E-1,2.432669103E-1
6.539418420E-1,-4.517959356E-1,4.752328098E-1,2.145562321E-1
6.639185190E-1,-3.619987667E-1,1.111571044E-1,9.177231789E-2
6.739304730E-1,-1.726305187E-1,-3.262223899E-1,-3.101159260E-2
6.839392000E-1,-2.199117094E-3,-6.286006570E-1,-9.820677340E-2
6.939332560E-1,2.443436533E-4,-6.304332614E-1,-1.085914820E-1
7.039133800E-1,-1.121548563E-1,-3.616525829E-1,-9.759590775E-2
7.139041730E-1,-1.769065857E-1,-1.081435084E-1,-7.193956524E-2
7.239027810E-1,-1.598023623E-1,6.778568029E-2,-4.567236081E-2
7.338982960E-1,-1.182635128E-1,1.123788357E-1,-1.757255942E-2
7.439168810E-1,-9.932669252E-2,4.640540108E-2,1.480329875E-2
7.539255390E-1,-1.091005355E-1,-1.529199071E-2,3.007493168E-2
7.639054640E-1,-1.695761979E-1,1.201368868E-3,-1.079197042E-3
7.738955220E-1,-2.483778149E-1,4.823799804E-2,-4.445062950E-2
7.839194360E-1,-2.844188511E-1,1.667458415E-1,-3.345505521E-2
7.939031240E-1,-2.477669567E-1,2.418822646E-1,-2.795726806E-2
8.038941410E-1,-1.982868612E-1,3.139643669E-1,-1.940515451E-2
8.138925530E-1,-1.329242885E-1,3.451184928E-1,-3.040073067E-2
8.238882010E-1,-6.511823833E-2,3.664987981E-1,-4.811581969E-2
8.339203520E-1,-4.129449278E-2,4.410243332E-1,-4.567236081E-2
8.439098890E-1,-7.733554393E-2,5.631974339E-1,-2.612467110E-2
8.539013310E-1,-1.488067806E-1,6.529946327E-1,3.807724454E-3
8.638936870E-1,-2.129476368E-1,6.798726916E-1,2.396627888E-2
8.739189800E-1,-2.776993513E-1,6.755966544E-1,3.557271883E-2
8.839061070E-1,-3.088534772E-1,6.700988412E-1,2.457714453E-2
8.939104400E-1,-2.648711801E-1,6.242839694E-1,9.305511601E-3
9.039280100E-1,-1.683544666E-1,5.277672410E-1,1.425333321E-4
9.139049490E-1,-9.260717034E-2,4.642372131E-1,-3.522658255E-3
9.239065340E-1,-8.833111823E-2,4.532416463E-1,-1.079197042E-3
9.338979420E-1,-1.286482215E-1,4.764545262E-1,8.083782159E-3
9.438894730E-1,-1.817935109E-1,5.234912038E-1,1.297070365E-2
9.539124110E-1,-2.184454203E-1,5.540344715E-1,1.907935739E-2
9.639064770E-1,-2.227214724E-1,5.644191504E-1,2.274454758E-2
9.738966830E-1,-1.891238838E-1,5.589213371E-1,9.916377254E-3
9.838912470E-1,-1.414763927E-1,5.124955773E-1,-4.744388629E-3
9.939487410E-1,-9.505063295E-2,4.208658040E-1,1.364263706E-3
1.003926795E0,-3.701843694E-2,3.041905165E-1,2.457714453E-2
1.013903649E0,5.888740718E-2,1.588045955E-1,4.534656182E-2
1.023891980E0,1.841147840E-1,-2.035871148E-5,3.374012187E-2
1.033887030E0,2.757445574E-1,-1.405193657E-1,9.305511601E-3
1.043907267E0,2.995682955E-1,-2.547511756E-1,1.113810856E-2
1.054112693E0,2.598620653E-1,-3.286658525E-1,1.297070365E-2
1.064001310E0,1.700648814E-1,-3.298875988E-1,5.029455759E-3
1.073940541E0,8.271115273E-2,-2.742988467E-1,-1.079197042E-3
1.083919253E0,3.506366163E-2,-2.174883932E-1,-7.187849842E-3
1.093895609E0,-2.809982747E-3,-1.362433136E-1,-1.085304096E-2
1.103883825E0,-1.200961098E-1,1.178766340E-1,2.030108497E-2
1.113893818E0,-1.677436084E-1,2.461583316E-1,3.190752864E-2
1.123897699E0,-1.988977343E-1,3.646661937E-1,3.496185318E-2
1.133881505E0,-2.282192707E-1,4.373591542E-1,4.656829312E-2
1.143893562E0,-2.251649350E-1,4.233092368E-1,5.817473307E-2
1.153900898E0,-1.836261004E-1,3.390098512E-1,4.901175573E-2
1.163906047E0,-1.109331325E-1,1.801848859E-1,3.190752864E-2
1.173885314E0,-3.665219992E-4,-1.101593487E-2,1.480329875E-2
1.183874101E0,1.059240326E-1,-1.790038794E-1,1.541416440E-2
1.193887321E0,1.841147840E-1,-2.883487642E-1,2.640974149E-2
1.203894835E0,2.421469688E-1,-3.445483744E-1,2.091195062E-2
1.213881650E0,2.494773567E-1,-3.848654628E-1,7.472916506E-3
1.223875384E0,2.225992829E-1,-3.915849924E-1,7.533989847E-4
1.233889732E0,1.670105457E-1,-3.219463527E-1,-1.512909774E-2
1.243894406E0,7.904595882E-2,-1.845016629E-1,-1.757255942E-2
1.253890128E0,-3.665219992E-4,-4.644611850E-2,-1.512909774E-2
1.263888008E0,-4.679227993E-2,4.518366978E-2,-2.307034656E-2
1.273889910E0,-7.061602175E-2,1.032158583E-1,-2.001602016E-2
1.283885861E0,-8.833111823E-2,1.453655660E-1,-2.001602016E-2
1.293883240E0,-1.036027446E-1,1.783522815E-1,-7.187849842E-3
1.303882564E0,-1.219287068E-1,1.930130571E-1,-1.146390662E-2
1.313882034E0,-1.262047589E-1,1.557502747E-1,-1.146390662E-2
1.323904019E0,-1.109331325E-1,4.457280412E-2,-4.133523442E-3
1.333923684E0,-4.557054862E-2,-8.004370332E-2,-6.576984189E-3
1.343916382E0,5.094616115E-2,-1.582344621E-1,-1.451823302E-2
1.353897443E0,1.083674952E-1,-1.765604168E-1,-2.001602016E-2
1.363940089E0,1.132544205E-1,-1.576235890E-1,-2.001602016E-2
1.373977912E0,8.698721230E-2,-1.026457250E-1,-1.757255942E-2
1.383955035E0,6.133086979E-2,-1.468112506E-2,-1.085304096E-2
1.393914250E0,2.834414504E-2,5.984443054E-2,1.975129358E-3
1.403894357E0,-2.113593929E-2,1.136005670E-1,7.472916506E-3
1.413910219E0,-6.023131311E-2,1.453655660E-1,4.418590106E-3
1.423893957E0,-8.405505866E-2,1.325373948E-1,-4.133523442E-3
1.433896461E0,-1.695761979E-1,1.032158583E-1,7.533989847E-4
1.443885655E0,-1.824043691E-1,9.527461231E-2,6.251185201E-3
1.453905291E0,-1.133765876E-1,8.550077677E-2,7.472916506E-3
1.463918186E0,3.567452729E-2,5.679010972E-2,3.807724454E-3
1.473895845E0,1.651779562E-1,-1.223766431E-2,-4.133523442E-3
1.483905289E0,2.207666934E-1,-9.042841196E-2,-5.966119003E-3
1.493895454E0,2.244318724E-1,-1.350215822E-1,-1.079197042E-3
1.503887652E0,1.969429404E-1,-1.166956276E-1,-2.300927415E-3
1.513908828E0,1.395216137E-1,-6.965899467E-2,-9.020444937E-3
1.523913781E0,5.583308637E-2,-3.911573440E-2,-8.409580216E-3
1.533956373E0,-4.031712189E-3,-1.651372202E-2,-7.187849842E-3
1.543938746E0,-4.642577842E-3,-6.312243640E-4,-1.390736736E-2
1.553909163E0,2.712241374E-2,-1.242090017E-3,-1.512909774E-2
1.563970929E0,8.576548100E-2,1.708386838E-2,-1.329650171E-2
