"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-2.772772312E-2,3.490357399E-1,1.481256485E-1
3.835361700E-2,-7.561171055E-2,2.676327229E-1,7.706174850E-1
6.251113800E-2,-1.665912867E-1,2.819979191E-1,7.885742188E-1
7.958064800E-2,-4.914605618E-2,8.470392227E-2,2.221632004E-1
9.312561500E-2,7.233071327E-2,-1.234755516E-1,-2.866544724E-1
1.048881370E-1,2.222671509E-1,-3.306760788E-1,-6.983461380E-1
1.157685130E-1,3.462760448E-1,-5.152270794E-1,-1.006849766E0
1.262139890E-1,3.524549007E-1,-4.233524799E-1,-9.117708206E-1
1.364450350E-1,5.860850811E-1,-4.950540066E-1,-1.404175282E0
1.465612500E-1,1.353229284E-1,-4.043819904E-1,-8.748440742E-1
1.566197040E-1,-1.635434628E-1,2.883191109E-1,8.158397675E-1
1.666511230E-1,-3.405042887E-1,5.321800709E-1,1.925354004E0
1.766703710E-1,-1.652080417E-1,3.400208950E-1,1.596307755E0
1.866755530E-1,-3.793901205E-2,8.614516258E-2,4.185333252E-1
1.966633750E-1,4.574966431E-2,-6.951379776E-2,-3.228406906E-1
2.066527860E-1,3.390729427E-2,-6.813859940E-2,-2.483596802E-1
2.166498950E-1,-8.267199993E-2,1.304790974E-1,3.966579437E-1
2.266555840E-1,-2.422363758E-1,3.786368370E-1,1.128351212E0
2.366513900E-1,-2.205969095E-1,3.513379097E-1,1.370869637E0
2.466512550E-1,-1.548886299E-1,1.557009220E-1,1.019550323E0
2.566570530E-1,1.342147589E-2,-5.665326118E-2,-5.053777695E-1
2.666623750E-1,5.399190187E-1,1.370310783E-2,-1.183020592E0
2.766703240E-1,-2.870392799E-2,-5.692589283E-2,-5.294036865E-1
2.866637410E-1,-1.323479414E-2,3.576302528E-2,2.245769501E-1
2.967100260E-1,-5.082666874E-2,1.064333916E-1,4.043254852E-1
3.073271300E-1,-5.312401056E-2,2.560720444E-1,8.494920731E-1
3.170118360E-1,4.557952285E-2,3.168485165E-1,1.351125717E0
3.269444200E-1,1.199548841E-1,2.733495235E-1,1.466092110E0
3.368002310E-1,1.958084702E-1,4.199802876E-1,1.929220200E0
3.467228100E-1,1.112188399E-1,5.457072258E-1,2.214023590E0
3.566836760E-1,5.256491899E-2,2.943120003E-1,9.629364014E-1
3.666866090E-1,-7.281979918E-2,-5.271990299E-1,-1.366308212E0
3.766878830E-1,-1.988807321E-1,-8.324599266E-1,-2.074048996E0
3.866660200E-1,-1.540637016E-1,-7.489333153E-1,-1.912559986E0
3.966628770E-1,-7.939612865E-2,-5.985648632E-1,-1.634585857E0
4.066701330E-1,-6.397455931E-2,-2.507050037E-1,-7.886352539E-1
4.166746260E-1,5.302619934E-2,1.393191814E-1,4.514465332E-1
4.266796610E-1,1.204204559E-1,3.498055935E-1,1.117202759E0
4.366791400E-1,6.574296951E-2,2.606544495E-1,8.610191345E-1
4.466739370E-1,4.038310051E-2,1.155507565E-1,4.095096588E-1
