"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.250607900E-2,2.633621991E-1,5.638344884E-1,9.895236015E0
7.957579100E-2,2.621650994E-1,5.710170865E-1,9.888052940E0
9.311564700E-2,2.561795712E-1,5.674257874E-1,9.873687744E0
1.049010170E-1,2.585737705E-1,5.674257874E-1,9.883264542E0
1.157864910E-1,2.633621991E-1,5.650315881E-1,9.891644478E0
1.262341890E-1,2.669534981E-1,5.602431893E-1,9.886856079E0
1.364569420E-1,2.705447972E-1,5.590460896E-1,9.882067680E0
1.465685110E-1,2.705447972E-1,5.602431893E-1,9.877279282E0
1.566238340E-1,2.717418969E-1,5.554547906E-1,9.874884605E0
1.666550910E-1,2.813186944E-1,5.590460896E-1,9.898826599E0
1.766708160E-1,2.741360962E-1,5.602431893E-1,9.898826599E0
1.866751020E-1,2.741360962E-1,5.578489900E-1,9.866505623E0
1.966786490E-1,2.729389966E-1,5.686228871E-1,9.874884605E0
2.066814220E-1,2.561795712E-1,5.614402890E-1,9.872490883E0
2.166838280E-1,2.705447972E-1,5.614402890E-1,9.878476143E0
2.266845500E-1,2.681505978E-1,5.650315881E-1,9.886856079E0
2.366855070E-1,2.609679997E-1,5.626373887E-1,9.897629738E0
2.466841970E-1,2.597708702E-1,5.578489900E-1,9.865307808E0
2.566846960E-1,2.729389966E-1,5.674257874E-1,9.877279282E0
2.666829260E-1,2.609679997E-1,5.638344884E-1,9.897629738E0
2.766830410E-1,2.717418969E-1,5.626373887E-1,9.890447617E0
2.866827720E-1,2.657563984E-1,5.542576909E-1,9.880870819E0
2.966827910E-1,2.801215947E-1,5.674257874E-1,9.889249802E0
3.066848580E-1,2.693476975E-1,5.626373887E-1,9.889249802E0
3.166814110E-1,2.777273953E-1,5.614402890E-1,9.884461403E0
3.266788800E-1,2.669534981E-1,5.662286878E-1,9.904812813E0
3.366807300E-1,2.753331959E-1,5.638344884E-1,9.882067680E0
3.466812320E-1,2.633621991E-1,5.650315881E-1,9.880870819E0
3.566846170E-1,2.669534981E-1,5.590460896E-1,9.883264542E0
3.666838100E-1,2.561795712E-1,5.578489900E-1,9.900024414E0
3.766834450E-1,2.717418969E-1,5.614402890E-1,9.890447617E0
3.866856470E-1,2.669534981E-1,5.662286878E-1,9.882067680E0
3.966852860E-1,2.645592988E-1,5.578489900E-1,9.891644478E0
4.066845870E-1,2.741360962E-1,5.686228871E-1,9.885659218E0
4.166616600E-1,2.657563984E-1,5.638344884E-1,9.888052940E0
4.266917540E-1,2.729389966E-1,5.662286878E-1,9.894038200E0
