"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
-7.561653500E-2,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
2.936748400E-2,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
8.685589700E-2,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
1.206000460E-1,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
1.424720050E-1,-1.771509647E-3,-1.119922847E-3,4.886901006E-4
1.584129080E-1,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
1.713820130E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
1.828657390E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
1.936068130E-1,-1.771509647E-3,-1.730788499E-3,-1.221755520E-4
2.039774660E-1,-1.160643995E-3,-5.090571940E-4,-1.221755520E-4
2.141655610E-1,-1.771509647E-3,-1.119922847E-3,-1.221755520E-4
2.242564740E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
2.343086420E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
2.443324190E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
2.543409610E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
2.643478280E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
2.743513580E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
2.843509300E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
2.943299660E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
3.043416960E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
3.143426380E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
3.243427630E-1,-1.160643995E-3,-1.119922847E-3,-7.330412045E-4
3.343455170E-1,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
3.443293750E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
3.543388040E-1,6.108731031E-5,-1.119922847E-3,-1.221755520E-4
3.643462300E-1,6.108731031E-5,-5.090571940E-4,-1.221755520E-4
3.743484620E-1,-1.160643995E-3,-5.090571940E-4,-7.330412045E-4
3.843768090E-1,-1.160643995E-3,-1.119922847E-3,4.886901006E-4
3.943429830E-1,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
4.043463200E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
4.143745270E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
4.243727840E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
4.343588930E-1,-1.160643995E-3,-5.090571940E-4,-7.330412045E-4
4.443400630E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
4.543455900E-1,-1.160643995E-3,-2.341654152E-3,-7.330412045E-4
4.643476040E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
4.743417070E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
4.843243930E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
4.943146210E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
5.043427160E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
5.143580320E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
5.243762290E-1,-5.497783422E-4,-1.730788499E-3,-7.330412045E-4
5.343475580E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
5.443384920E-1,6.108731031E-5,-1.730788499E-3,-7.330412045E-4
5.543305930E-1,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
5.643264710E-1,-5.497783422E-4,-1.730788499E-3,-7.330412045E-4
5.770051210E-1,-1.771509647E-3,-1.119922847E-3,-1.221755520E-4
5.943524640E-1,-1.160643995E-3,-5.090571940E-4,-1.221755520E-4
6.043322340E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
6.143613110E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
6.243058490E-1,6.108731031E-5,-1.730788499E-3,-7.330412045E-4
6.343529640E-1,-5.497783422E-4,-5.090571940E-4,-1.221755520E-4
6.443354260E-1,6.108731031E-5,1.018084586E-4,-1.221755520E-4
6.543543490E-1,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
6.643018110E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
6.743008110E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
6.843168110E-1,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
6.943028110E-1,-5.497783422E-4,-1.730788499E-3,-7.330412045E-4
7.043136570E-1,6.108731031E-5,-1.730788499E-3,-1.343905926E-3
7.143009260E-1,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
7.243176180E-1,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
7.343225410E-1,-1.160643995E-3,-5.090571940E-4,-1.221755520E-4
7.443295800E-1,-1.771509647E-3,-1.730788499E-3,-1.221755520E-4
7.543266180E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
7.643104640E-1,6.108731031E-5,-5.090571940E-4,-7.330412045E-4
7.743585800E-1,-1.160643995E-3,-1.119922847E-3,-7.330412045E-4
7.843921950E-1,6.108731031E-5,-1.119922847E-3,-1.221755520E-4
7.943171950E-1,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
8.043232720E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
8.144161570E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
8.243088870E-1,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
8.343315030E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
8.443583490E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
8.543588100E-1,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
8.643588490E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
8.743768100E-1,6.108731031E-5,-1.730788499E-3,-7.330412045E-4
8.843765410E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
8.943585030E-1,-5.497783422E-4,-1.730788499E-3,-7.330412045E-4
9.043833100E-1,6.108731031E-5,-5.090571940E-4,-1.221755520E-4
9.143150800E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
9.243183100E-1,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
9.343321180E-1,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
9.443196180E-1,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
9.544099640E-1,-5.497783422E-4,-5.090571940E-4,-7.330412045E-4
9.643648870E-1,-1.160643995E-3,-1.119922847E-3,-7.330412045E-4
9.743726950E-1,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
9.843409640E-1,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
9.943656180E-1,-1.160643995E-3,-2.341654152E-3,-1.221755520E-4
1.004335772E0,-5.497783422E-4,-1.730788499E-3,-7.330412045E-4
1.014320233E0,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
1.024377041E0,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
1.034340656E0,6.108731031E-5,-1.119922847E-3,-7.330412045E-4
1.044368349E0,6.108731031E-5,-1.730788499E-3,-1.343905926E-3
1.054372349E0,-5.497783422E-4,-1.119922847E-3,-1.221755520E-4
1.064370464E0,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
1.074318272E0,-5.497783422E-4,-1.730788499E-3,4.886901006E-4
1.084373926E0,-1.160643995E-3,-1.119922847E-3,-7.330412045E-4
1.094398041E0,-1.160643995E-3,-1.119922847E-3,-7.330412045E-4
1.104394695E0,-1.160643995E-3,-1.119922847E-3,-1.221755520E-4
1.114382233E0,-1.160643995E-3,-1.730788499E-3,-7.330412045E-4
1.124368464E0,6.108731031E-5,-1.119922847E-3,-1.343905926E-3
1.134348810E0,-5.497783422E-4,-1.119922847E-3,-7.330412045E-4
1.144372733E0,-1.160643995E-3,-1.730788499E-3,-1.221755520E-4
1.154400233E0,-5.497783422E-4,-1.730788499E-3,-1.221755520E-4
1.164382156E0,-6.902609020E-4,-7.330067456E-4,-4.276074469E-4
1.174383387E0,-6.902609020E-4,-1.221410930E-4,-4.276074469E-4
1.184393618E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
1.194320426E0,-6.902609020E-4,-7.330067456E-4,1.832582057E-4
1.204376272E0,-7.939524949E-5,-1.221410930E-4,7.941238582E-4
1.214324810E0,-7.939524949E-5,-1.221410930E-4,1.832582057E-4
1.224334118E0,5.314704031E-4,-7.330067456E-4,-4.276074469E-4
1.234355810E0,5.314704031E-4,-1.221410930E-4,-4.276074469E-4
1.244376002E0,-6.902609020E-4,-7.330067456E-4,-1.038472168E-3
1.254372964E0,-6.902609020E-4,-7.330067456E-4,-4.276074469E-4
1.264368349E0,-7.939524949E-5,4.887245595E-4,-4.276074469E-4
1.274380964E0,5.314704031E-4,-1.221410930E-4,1.832582057E-4
1.284383310E0,-7.939524949E-5,-7.330067456E-4,-4.276074469E-4
1.294393349E0,-7.939524949E-5,4.887245595E-4,-1.038472168E-3
1.304389849E0,-7.939524949E-5,4.887245595E-4,1.832582057E-4
1.314319041E0,-6.902609020E-4,-1.221410930E-4,-4.276074469E-4
1.324428502E0,-7.939524949E-5,-7.330067456E-4,-4.276074469E-4
1.334328464E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
1.344368041E0,5.314704031E-4,4.887245595E-4,-4.276074469E-4
1.354398656E0,5.314704031E-4,-1.221410930E-4,1.832582057E-4
1.364330541E0,-7.939524949E-5,4.887245595E-4,-4.276074469E-4
1.374379656E0,-6.902609020E-4,-7.330067456E-4,1.832582057E-4
1.384393041E0,-6.902609020E-4,-1.343872398E-3,1.832582057E-4
1.394321002E0,-7.939524949E-5,-7.330067456E-4,1.832582057E-4
1.404341349E0,-7.939524949E-5,-1.221410930E-4,-4.276074469E-4
